ID,PASS,USERTYPE,USERNAME,1st Vac Status,2nd Vac Status,1st Vac Date,2nd Vac Date,Phone,ASSGINED VC,CAP/DAY,Age,Total Vac Available
10136,A1234,recipient,Naufal,Pending,Pending,none,none,122487503,none,none,none,none
10137,A1234,recipient,Aslina,Pending,Pending,none,none,145200368,none,none,none,none
10138,A1234,recipient,Shaihuddin,Pending,Pending,none,none,147785202,none,none,none,none
10139,A1234,recipient,Yusoff,Pending,Pending,none,none,136982488,none,none,none,none
10140,A1234,recipient,Rostan,Pending,Pending,none,none,125488824,none,none,none,none
10141,A1234,recipient,Fathimah,Pending,Pending,none,none,168977524,none,none,none,none
10142,A1234,recipient,Aznan,Pending,Pending,none,none,152699825,none,none,none,none
10143,A1234,recipient,Wui Ken,Pending,Pending,none,none,132254799,none,none,none,none
10144,A1234,recipient,Anita,Pending,Pending,none,none,133695682,none,none,none,none
10145,A1234,recipient,Samad,Pending,Pending,none,none,126654898,none,none,none,none
10146,A1234,recipient,Ramon,Pending,Pending,none,none,123498002,none,none,none,none
10147,A1234,recipient,Rohaizan,Pending,Pending,none,none,127781142,none,none,none,none
10148,A1234,recipient,Samantha,Pending,Pending,none,none,126842501,none,none,none,none
10149,A1234,recipient,Idham,Pending,Pending,none,none,124005326,none,none,none,none
10150,A1234,recipient,Rattan,Pending,Pending,none,none,135122348,none,none,none,none
10151,A1234,recipient,Izzat,Pending,Pending,none,none,174498206,none,none,none,none
10152,A1234,recipient,Sarath,Pending,Pending,none,none,132558254,none,none,none,none
10153,A1234,recipient,Soon An,Pending,Pending,none,none,124980065,none,none,none,none
10154,A1234,recipient,Han Jie,Pending,Pending,none,none,127745874,none,none,none,none
10155,A1234,recipient,Omar,Pending,Pending,none,none,145564982,none,none,none,none
10156,A1234,recipient,Asraf,Pending,Pending,none,none,178845469,none,none,none,none
10157,A1234,recipient,Herlina,Pending,Pending,none,none,123654842,none,none,none,none
10158,A1234,recipient,Kavilas,Pending,Pending,none,none,145545468,none,none,none,none
10159,A1234,recipient,John,Pending,Pending,none,none,178844593,none,none,none,none
10160,A1234,recipient,Zai Yong,Pending,Pending,none,none,124755826,none,none,none,none
10161,A1234,recipient,Yam Tee,Pending,Pending,none,none,125548223,none,none,none,none
10162,A1234,recipient,Kamil,Pending,Pending,none,none,136654585,none,none,none,none
10163,A1234,recipient,Fadly,Pending,Pending,none,none,174498562,none,none,none,none
10164,A1234,recipient,Fitri,Pending,Pending,none,none,136654859,none,none,none,none
10165,A1234,recipient,Fui Qi,Pending,Pending,none,none,123354685,none,none,none,none
10166,A1234,recipient,Yosri,Pending,Pending,none,none,124458566,none,none,none,none
10167,A1234,recipient,Melissa,Pending,Pending,none,none,124459986,none,none,none,none
10168,A1234,recipient,Ramya,Pending,Pending,none,none,135568224,none,none,none,none
10169,A1234,recipient,Shafiqah,Pending,Pending,none,none,177878526,none,none,none,none
10170,A1234,recipient,Amrul,Pending,Pending,none,none,124548759,none,none,none,none
10171,A1234,recipient,Ridzuan,Pending,Pending,none,none,146322347,none,none,none,none
10172,A1234,recipient,Haffizi,Pending,Pending,none,none,124433258,none,none,none,none
10173,A1234,recipient,Thanuja,Pending,Pending,none,none,174557783,none,none,none,none
10174,A1234,recipient,Devaraj,Pending,Pending,none,none,156677202,none,none,none,none
10175,A1234,recipient,Nadiah,Pending,Pending,none,none,135484582,none,none,none,none
10176,A1234,recipient,Hafizan,Pending,Pending,none,none,121142582,none,none,none,none
10177,A1234,recipient,Sadri,Pending,Pending,none,none,174484854,none,none,none,none
10178,A1234,recipient,Zairi,Pending,Pending,none,none,149985654,none,none,none,none
10179,A1234,recipient,Ravindran,Pending,Pending,none,none,147798523,none,none,none,none
10180,A1234,recipient,Jamaludin,Pending,Pending,none,none,125549858,none,none,none,none
10181,A1234,recipient,Fathi,Pending,Pending,none,none,127748751,none,none,none,none
10182,A1234,recipient,Pei Sheng,Pending,Pending,none,none,136649852,none,none,none,none
10183,A1234,recipient,Izatul,Pending,Pending,none,none,124454758,none,none,none,none
10184,A1234,recipient,Razali,Pending,Pending,none,none,147758966,none,none,none,none
10185,A1234,recipient,Syahmi,Pending,Pending,none,none,136554852,none,none,none,none
10186,A1234,recipient,Terry,Pending,Pending,none,none,124574582,none,none,none,none
10187,A1234,recipient,Thajudeen,Pending,Pending,none,none,178009548,none,none,none,none
10188,A1234,recipient,Adrian,Pending,Pending,none,none,124500601,none,none,none,none
10189,A1234,recipient,Natasya,Pending,Pending,none,none,134478752,none,none,none,none
10190,A1234,recipient,Danny,Pending,Pending,none,none,149985254,none,none,none,none
10191,A1234,recipient,Yussof,Pending,Pending,none,none,147798565,none,none,none,none
10192,A1234,recipient,Shuba,Pending,Pending,none,none,136685854,none,none,none,none
10193,A1234,recipient,Devaki,Pending,Pending,none,none,102235571,none,none,none,none
10194,A1234,recipient,Hazim,Pending,Pending,none,none,112466775,none,none,none,none
10195,A1234,recipient,Rajan,Pending,Pending,none,none,145488744,none,none,none,none
10196,A1234,recipient,Jeff,Pending,Pending,none,none,125458599,none,none,none,none
10197,A1234,recipient,Aniza,Pending,Pending,none,none,119889224,none,none,none,none
10198,A1234,recipient,Zhao Ki,Pending,Pending,none,none,124452064,none,none,none,none
10199,A1234,recipient,Mei Ling,Pending,Pending,none,none,127787895,none,none,none,none
10200,A1234,recipient,Kumar,Pending,Pending,none,none,136465821,none,none,none,none
10201,A1234,recipient,Ibrahim,Pending,Pending,none,none,125582687,none,none,none,none
10202,A1234,recipient,Kamaruddin,Pending,Pending,none,none,145565803,none,none,none,none
10203,A1234,recipient,Yoong Sheng,Pending,Pending,none,none,122890031,none,none,none,none
